data-productividad-producto-producto_obtenido,data-productividad-producto-rendimiento_estimado,data-productividad-producto-rendimiento_real,data-productividad-producto-porcentaje_venta,data-productividad-producto-destinado_autoconsumo,data-productividad-producto-destinado_a_semilla,data-productividad-producto-vendio_producto,data-productividad-producto-precio_venta,PARENT_KEY,KEY
primera,12,10,60,30,10,si,1.25,uuid:7aa03945-21e5-41a5-88e9-9dcbffd1889f,uuid:7aa03945-21e5-41a5-88e9-9dcbffd1889f/producto[1]
primera,12,9,70,20,10,si,1.3,uuid:770dd3bc-299d-4f6f-8d20-3b479868fa0f,uuid:770dd3bc-299d-4f6f-8d20-3b479868fa0f/producto[1]
primera,4,3,70,20,10,si,1.3,uuid:ef3335db-ab7e-4165-9f04-eea622d9bce4,uuid:ef3335db-ab7e-4165-9f04-eea622d9bce4/producto[1]
primera,15,8.5,40,50,10,si,1.5,uuid:ac45d8da-99ad-4768-9c5b-ec20a096e2cc,uuid:ac45d8da-99ad-4768-9c5b-ec20a096e2cc/producto[1]
primera,15,10,40,50,10,si,1.2,uuid:1718f0e2-a037-47fd-8277-e26eda956c34,uuid:1718f0e2-a037-47fd-8277-e26eda956c34/producto[1]
primera,12,9,50,40,10,si,1.3,uuid:a7f28fec-f3c5-44d1-b16c-127f99eea832,uuid:a7f28fec-f3c5-44d1-b16c-127f99eea832/producto[1]
primera,7,5.5,40,50,10,si,1,uuid:1a78ff7f-b1cd-4794-b660-6afa9da649fa,uuid:1a78ff7f-b1cd-4794-b660-6afa9da649fa/producto[1]
primera,14,13,60,30,10,si,1.25,uuid:0d053457-f947-4b43-afc6-766bd0597307,uuid:0d053457-f947-4b43-afc6-766bd0597307/producto[1]
primera,8,7,60,30,10,si,1.2,uuid:91d3b1e3-bbdb-48bc-98d6-7adba61ca44f,uuid:91d3b1e3-bbdb-48bc-98d6-7adba61ca44f/producto[1]
primera,4,3,0,80,20,no,0,uuid:2c9a2cea-e629-42e3-ab43-e635749a4a01,uuid:2c9a2cea-e629-42e3-ab43-e635749a4a01/producto[1]
primera,18,16,60,30,10,si,1.25,uuid:1ab011d9-ac75-43ad-a673-52a58eef188d,uuid:1ab011d9-ac75-43ad-a673-52a58eef188d/producto[1]
primera,18,16,50,40,10,si,1.2,uuid:4ef22e9d-7e29-4548-bf7c-ea4b52bb5403,uuid:4ef22e9d-7e29-4548-bf7c-ea4b52bb5403/producto[1]
primera,15,13,50,40,10,si,1.3,uuid:c3b1df57-faf8-47eb-b7c8-200f65addaa0,uuid:c3b1df57-faf8-47eb-b7c8-200f65addaa0/producto[1]
primera,8,6,60,30,10,si,1.2,uuid:f91d32b7-58fe-49a9-9d95-9511ecf8dd42,uuid:f91d32b7-58fe-49a9-9d95-9511ecf8dd42/producto[1]
primera,7,5,60,30,10,si,1.2,uuid:341c8924-a133-43e2-8eed-41862432b57a,uuid:341c8924-a133-43e2-8eed-41862432b57a/producto[1]
primera,4,2.5,20,70,10,si,1,uuid:3abc91ae-dc31-42df-85fc-09725ecd139a,uuid:3abc91ae-dc31-42df-85fc-09725ecd139a/producto[1]
primera,12,9,60,30,10,si,1.2,uuid:c007c0cb-535b-410a-b679-5cd95e90ad7b,uuid:c007c0cb-535b-410a-b679-5cd95e90ad7b/producto[1]
primera,4,3,50,40,10,si,1.4,uuid:cca12839-1187-4635-bd2a-815a5158776b,uuid:cca12839-1187-4635-bd2a-815a5158776b/producto[1]
primera,20,18,70,20,10,si,1.25,uuid:2a2bff23-370a-4eb4-8663-a63a8daf9fd8,uuid:2a2bff23-370a-4eb4-8663-a63a8daf9fd8/producto[1]
primera,2,1.2,20,70,10,si,1.3,uuid:7581206c-02e5-4883-8084-7339c3ecff09,uuid:7581206c-02e5-4883-8084-7339c3ecff09/producto[1]
primera,5,4,60,30,10,si,1.1,uuid:799f53bd-660d-41f4-8366-6026cb059135,uuid:799f53bd-660d-41f4-8366-6026cb059135/producto[1]
primera,7,6,50,40,10,si,1.2,uuid:2c37e7eb-c25d-4fc6-8986-1a4d1addd855,uuid:2c37e7eb-c25d-4fc6-8986-1a4d1addd855/producto[1]
primera,12,10,40,50,10,si,1.5,uuid:1fbbbec4-d86d-4b63-98d9-20f892a17407,uuid:1fbbbec4-d86d-4b63-98d9-20f892a17407/producto[1]
primera,18,16,50,40,10,si,1.3,uuid:32dd6e86-0956-46c0-95c3-d80960979fa6,uuid:32dd6e86-0956-46c0-95c3-d80960979fa6/producto[1]
primera,14,12,60,30,10,si,1.2,uuid:e0caf863-f2f2-4204-99e7-6fe0b69be46c,uuid:e0caf863-f2f2-4204-99e7-6fe0b69be46c/producto[1]
primera,15,13,50,30,20,si,"1,1",uuid:7194b35e-b19c-4638-ae03-69ac891b8abb,uuid:7194b35e-b19c-4638-ae03-69ac891b8abb/producto[1]
primera,9,7,40,50,10,si,1.3,uuid:32ce436d-f08a-44df-8754-fb0394d8022f,uuid:32ce436d-f08a-44df-8754-fb0394d8022f/producto[1]
primera,15,15,60,30,10,si,1.2,uuid:de9a0118-6cab-4e6d-a1ca-afd6194e5389,uuid:de9a0118-6cab-4e6d-a1ca-afd6194e5389/producto[1]
primera,9,8,50,40,10,si,1.2,uuid:c8291806-16bd-467c-a22c-ee103a92d29e,uuid:c8291806-16bd-467c-a22c-ee103a92d29e/producto[1]
primera,14,12,60,30,10,si,1.2,uuid:8da4a8b9-b4c2-4106-8105-c085bfa01e93,uuid:8da4a8b9-b4c2-4106-8105-c085bfa01e93/producto[1]
primera,9,8,50,40,10,si,1,uuid:af3c4dac-fb4f-4f89-8ecf-887f7571c3f7,uuid:af3c4dac-fb4f-4f89-8ecf-887f7571c3f7/producto[1]
primera,4,3,20,70,10,si,1.3,uuid:8da07ee7-3ff1-482f-a69d-3af3d1444079,uuid:8da07ee7-3ff1-482f-a69d-3af3d1444079/producto[1]
primera,7,6,50,40,10,si,1.2,uuid:becb6d68-0e84-4858-8335-8a5e15066776,uuid:becb6d68-0e84-4858-8335-8a5e15066776/producto[1]
primera,4,3,20,70,10,si,1.3,uuid:793e5c3c-033c-41ed-8de7-306936d0fb9d,uuid:793e5c3c-033c-41ed-8de7-306936d0fb9d/producto[1]
primera,5,4,30,60,10,si,1.2,uuid:e83b3502-fd46-46ff-b548-13dd0bdaece4,uuid:e83b3502-fd46-46ff-b548-13dd0bdaece4/producto[1]
primera,10,8,60,20,20,si,1.3,uuid:6ff826f3-467d-4755-8aaf-0c38a822a371,uuid:6ff826f3-467d-4755-8aaf-0c38a822a371/producto[1]
primera,4,2.5,20,70,10,si,1.1,uuid:f198258d-038c-4588-842c-8d4bb57fa0c2,uuid:f198258d-038c-4588-842c-8d4bb57fa0c2/producto[1]
primera,4,3,40,50,10,si,1.3,uuid:b2a9aaaf-1710-4688-87ff-a26b61e2a5ce,uuid:b2a9aaaf-1710-4688-87ff-a26b61e2a5ce/producto[1]
primera,5,2.5,0,80,20,si,1.1,uuid:fbd6540f-0d48-43f8-af58-78480c955769,uuid:fbd6540f-0d48-43f8-af58-78480c955769/producto[1]
primera,3,3,40,40,20,si,1.3,uuid:bc4340e4-a781-470b-8135-e6968e0daa4d,uuid:bc4340e4-a781-470b-8135-e6968e0daa4d/producto[1]
primera,8,6,60,30,10,si,"1,2",uuid:5d69ff0c-7c1f-49a0-ad7a-6daeb51d31f7,uuid:5d69ff0c-7c1f-49a0-ad7a-6daeb51d31f7/producto[1]
primera,9,8,50,40,10,si,1.4,uuid:e28a99ed-84d7-477d-9cab-f7c60b038440,uuid:e28a99ed-84d7-477d-9cab-f7c60b038440/producto[1]
primera,9,7,50,30,20,si,1.2,uuid:e4eeabe5-39ef-4b99-b2f4-cb10a9135bdc,uuid:e4eeabe5-39ef-4b99-b2f4-cb10a9135bdc/producto[1]
primera,8,7,50,40,10,si,"1,2",uuid:5b16fecd-1671-4237-a6b6-08cd05b86d4b,uuid:5b16fecd-1671-4237-a6b6-08cd05b86d4b/producto[1]
primera,3,2,0,80,20,no, ,uuid:5e585fa4-8a27-4465-bcd7-84e2d7f6f864,uuid:5e585fa4-8a27-4465-bcd7-84e2d7f6f864/producto[1]
primera,8,6,60,30,10,si,1.2,uuid:fb2a62fa-5f14-41fd-9cf4-1bed4f029252,uuid:fb2a62fa-5f14-41fd-9cf4-1bed4f029252/producto[1]
primera,4,4,20,70,10,si,1,uuid:2e9410bc-972e-4af5-8eff-e2ae596b5f42,uuid:2e9410bc-972e-4af5-8eff-e2ae596b5f42/producto[1]
primera,3,2,20,70,10,si,1.2,uuid:95577f54-9833-4047-80f3-a3f75a9e39ba,uuid:95577f54-9833-4047-80f3-a3f75a9e39ba/producto[1]
primera,15,12,60,30,10,si,1.3,uuid:9e621a8d-5ff4-43ff-b448-3ad33b520528,uuid:9e621a8d-5ff4-43ff-b448-3ad33b520528/producto[1]
primera,4,5.5,30,60,10,si,1,uuid:9c0c4206-af84-409d-9d78-0ab06efbd88d,uuid:9c0c4206-af84-409d-9d78-0ab06efbd88d/producto[1]
primera,18,16,50,40,10,si,1.4,uuid:34017d79-966a-4a6f-bd65-802f9112d103,uuid:34017d79-966a-4a6f-bd65-802f9112d103/producto[1]
primera,10,8,30,60,10, ,1.3,uuid:b6beaa4b-9970-4e80-8607-8964e3f59ba7,uuid:b6beaa4b-9970-4e80-8607-8964e3f59ba7/producto[1]
primera,12,10,60,30,10,si,1.2,uuid:8e340d05-9ff2-442d-84bc-66b39139aa36,uuid:8e340d05-9ff2-442d-84bc-66b39139aa36/producto[1]
primera,5,3.5,40,50,10,si,1.25,uuid:a71551e1-dbdc-435d-828f-c59f676eb961,uuid:a71551e1-dbdc-435d-828f-c59f676eb961/producto[1]
primera,3,2,20,60,20,si,1.2,uuid:1bd85c19-ff1a-483f-9a4a-8f72ed6e14b4,uuid:1bd85c19-ff1a-483f-9a4a-8f72ed6e14b4/producto[1]
primera,30,26,60,30,10,si,1.3,uuid:21858f08-4b37-4825-824e-128bd381d19c,uuid:21858f08-4b37-4825-824e-128bd381d19c/producto[1]
primera,7,6,40,50,10,si,1.2,uuid:2e473031-baac-4f89-8a96-e0c02c948337,uuid:2e473031-baac-4f89-8a96-e0c02c948337/producto[1]
primera,7,6,60,30,10,si,"1,2",uuid:51bb61c2-3919-4883-9161-df4791760bb8,uuid:51bb61c2-3919-4883-9161-df4791760bb8/producto[1]
primera,8,7,60,30,10,si,1,uuid:b5eef60c-d396-4a3f-9c2c-b46e09dc712f,uuid:b5eef60c-d396-4a3f-9c2c-b46e09dc712f/producto[1]
primera,4,2.5,20,60,20,si,1.3,uuid:f4ae8cd9-afcc-4c32-b569-ee84ebf05d84,uuid:f4ae8cd9-afcc-4c32-b569-ee84ebf05d84/producto[1]
primera,4,3,20,70,10,si,1,uuid:ddb040bd-97aa-46bf-a4b9-f43542ede6f2,uuid:ddb040bd-97aa-46bf-a4b9-f43542ede6f2/producto[1]
primera,8,7,50,40,10,si,1.1,uuid:6430cc9a-36b0-4ddb-bf59-4d52a5bac133,uuid:6430cc9a-36b0-4ddb-bf59-4d52a5bac133/producto[1]
primera,4,2.8,60,30,10,si,1.3,uuid:ee408656-22de-408a-bc3f-bd919ac0bace,uuid:ee408656-22de-408a-bc3f-bd919ac0bace/producto[1]
primera,2,1.2,30,60,10,si,1.25,uuid:e2719100-e800-4527-b2da-7208be49ab82,uuid:e2719100-e800-4527-b2da-7208be49ab82/producto[1]
primera,4,4,50,40,10,si,1.2,uuid:e07df7d3-e769-4e19-bdb8-c16ed07a8c64,uuid:e07df7d3-e769-4e19-bdb8-c16ed07a8c64/producto[1]
primera,15,13,60,30,10,si,1.5,uuid:64733008-a366-46fb-a045-60585f61607c,uuid:64733008-a366-46fb-a045-60585f61607c/producto[1]
primera,6,6,50,40,10,si,1.2,uuid:7ebf42b0-cbec-43fc-a6b3-e84d6bf0d200,uuid:7ebf42b0-cbec-43fc-a6b3-e84d6bf0d200/producto[1]
primera,7,6,60,30,10,si,1.4,uuid:316a8a8e-8fba-4679-ba48-bd154463bbd4,uuid:316a8a8e-8fba-4679-ba48-bd154463bbd4/producto[1]
primera,4,4,60,30,10,si,1.2,uuid:9047e863-99fb-4e88-a89f-bcd4ba7145cf,uuid:9047e863-99fb-4e88-a89f-bcd4ba7145cf/producto[1]
primera,6,6,60,30,10,si,1.2,uuid:accc6d9f-e2c8-4041-accb-9d2fc2868c9a,uuid:accc6d9f-e2c8-4041-accb-9d2fc2868c9a/producto[1]
primera,3,2,0,100,0,no,2,uuid:81a8f770-0479-4bac-9940-86bd98bae1b0,uuid:81a8f770-0479-4bac-9940-86bd98bae1b0/producto[1]
segunda,2,1,0,100,0,no,1,uuid:81a8f770-0479-4bac-9940-86bd98bae1b0,uuid:81a8f770-0479-4bac-9940-86bd98bae1b0/producto[2]
primera,22,20,0,80,20,no, ,uuid:3ce7e99e-a209-4aef-bfbd-11b8ccc4d40d,uuid:3ce7e99e-a209-4aef-bfbd-11b8ccc4d40d/producto[1]
segunda, , , , , , , ,uuid:3ce7e99e-a209-4aef-bfbd-11b8ccc4d40d,uuid:3ce7e99e-a209-4aef-bfbd-11b8ccc4d40d/producto[2]
primera,14.25,8,100,0,0,si,2,uuid:8f4c8cc3-f877-4f71-90e3-e314d8f907c7,uuid:8f4c8cc3-f877-4f71-90e3-e314d8f907c7/producto[1]
segunda,10,6,100,0,0,si,1.5,uuid:8f4c8cc3-f877-4f71-90e3-e314d8f907c7,uuid:8f4c8cc3-f877-4f71-90e3-e314d8f907c7/producto[2]
tercera,5,2,50,30,20,si,1,uuid:8f4c8cc3-f877-4f71-90e3-e314d8f907c7,uuid:8f4c8cc3-f877-4f71-90e3-e314d8f907c7/producto[3]
segunda,11,5,0,100,0,no,1.5,uuid:93fa1983-2c67-48d4-84d3-77b1f2ffc3e9,uuid:93fa1983-2c67-48d4-84d3-77b1f2ffc3e9/producto[1]
tercera,3,2.4,0,50,50,no,1,uuid:93fa1983-2c67-48d4-84d3-77b1f2ffc3e9,uuid:93fa1983-2c67-48d4-84d3-77b1f2ffc3e9/producto[2]
primera,8,5.5,0,100,0,no,1.8,uuid:35685a35-426e-4f72-a2da-169dfbfa3aa8,uuid:35685a35-426e-4f72-a2da-169dfbfa3aa8/producto[1]
segunda,5,3,0,50,50,no,1.2,uuid:35685a35-426e-4f72-a2da-169dfbfa3aa8,uuid:35685a35-426e-4f72-a2da-169dfbfa3aa8/producto[2]
tercera,2,1,0,100,0,no, ,uuid:35685a35-426e-4f72-a2da-169dfbfa3aa8,uuid:35685a35-426e-4f72-a2da-169dfbfa3aa8/producto[3]
extra,2.5,3.3,60,40,0,si,1.8,uuid:d36a7762-c7ca-41fe-ae3e-146d9961767b,uuid:d36a7762-c7ca-41fe-ae3e-146d9961767b/producto[1]
primera,5,3.3,40,60,0,si,1.5,uuid:d36a7762-c7ca-41fe-ae3e-146d9961767b,uuid:d36a7762-c7ca-41fe-ae3e-146d9961767b/producto[2]
segunda,7.5,5.5,30,70,0,si,1.2,uuid:d36a7762-c7ca-41fe-ae3e-146d9961767b,uuid:d36a7762-c7ca-41fe-ae3e-146d9961767b/producto[3]
tercera,7.5,7.7, ,50,50,si,1,uuid:d36a7762-c7ca-41fe-ae3e-146d9961767b,uuid:d36a7762-c7ca-41fe-ae3e-146d9961767b/producto[4]
descarte,2.5,2.2,0,100,0,no, ,uuid:d36a7762-c7ca-41fe-ae3e-146d9961767b,uuid:d36a7762-c7ca-41fe-ae3e-146d9961767b/producto[5]
primera,4.4,4.5,50,50,0,si,2,uuid:51c8665b-c661-46e3-b23a-6b7b04def800,uuid:51c8665b-c661-46e3-b23a-6b7b04def800/producto[1]
segunda,11,7.2,30,70,0,si,1.5,uuid:51c8665b-c661-46e3-b23a-6b7b04def800,uuid:51c8665b-c661-46e3-b23a-6b7b04def800/producto[2]
tercera,6.6,6.3,0,50,50,no,1.2,uuid:51c8665b-c661-46e3-b23a-6b7b04def800,uuid:51c8665b-c661-46e3-b23a-6b7b04def800/producto[3]
extra,0.65,1.5,0,100,0,no,2,uuid:a1897e4a-df01-457c-8c99-33f3eb10183c,uuid:a1897e4a-df01-457c-8c99-33f3eb10183c/producto[1]
primera,1.3,0.75,0,100,0,no,1.5,uuid:a1897e4a-df01-457c-8c99-33f3eb10183c,uuid:a1897e4a-df01-457c-8c99-33f3eb10183c/producto[2]
segunda,2.6,2.25,0,100,0,no,1.3,uuid:a1897e4a-df01-457c-8c99-33f3eb10183c,uuid:a1897e4a-df01-457c-8c99-33f3eb10183c/producto[3]
tercera,7.15,9.75,30,30,40,si,1,uuid:a1897e4a-df01-457c-8c99-33f3eb10183c,uuid:a1897e4a-df01-457c-8c99-33f3eb10183c/producto[4]
descarte,1.3,0.75,0,100,0,no, ,uuid:a1897e4a-df01-457c-8c99-33f3eb10183c,uuid:a1897e4a-df01-457c-8c99-33f3eb10183c/producto[5]
extra,1.9,2,0,100,0,no,2.2,uuid:e10910f8-4680-47d4-af1f-83ab04283715,uuid:e10910f8-4680-47d4-af1f-83ab04283715/producto[1]
primera,2.85,2.7,0,100,0,no,2,uuid:e10910f8-4680-47d4-af1f-83ab04283715,uuid:e10910f8-4680-47d4-af1f-83ab04283715/producto[2]
segunda,4.75,3,0,100,0,no,1.7,uuid:e10910f8-4680-47d4-af1f-83ab04283715,uuid:e10910f8-4680-47d4-af1f-83ab04283715/producto[3]
tercera,8.55,9.9,20,50,30,si,1.5,uuid:e10910f8-4680-47d4-af1f-83ab04283715,uuid:e10910f8-4680-47d4-af1f-83ab04283715/producto[4]
descarte,0.95,0.9,0,100,0,no,0.5,uuid:e10910f8-4680-47d4-af1f-83ab04283715,uuid:e10910f8-4680-47d4-af1f-83ab04283715/producto[5]
primera,3,2.5,20,60,20,si,1.2,uuid:8e9c9a3d-f975-43ed-8e52-7c09cde46c20,uuid:8e9c9a3d-f975-43ed-8e52-7c09cde46c20/producto[1]
primera,14,11,60,30,10,si,1.5,uuid:a799cd8a-1b14-4be7-a091-d05a4b6f7602,uuid:a799cd8a-1b14-4be7-a091-d05a4b6f7602/producto[1]
primera,16,12,50,40,10,si,1.4,uuid:69aa39ad-24ce-40a9-8207-d60233560226,uuid:69aa39ad-24ce-40a9-8207-d60233560226/producto[1]
primera,7,6,40,50,10,si,1.5,uuid:5a5ac0a8-2bcf-45a6-8409-b9ede7eddff5,uuid:5a5ac0a8-2bcf-45a6-8409-b9ede7eddff5/producto[1]
primera,6,5,50,40,10,si,1.5,uuid:570edf57-a79c-4134-8f26-a1341b7c306a,uuid:570edf57-a79c-4134-8f26-a1341b7c306a/producto[1]
primera,17,15,50,40,10,si,1.5,uuid:612cfb68-9b50-4baf-88bb-b156519302cc,uuid:612cfb68-9b50-4baf-88bb-b156519302cc/producto[1]
primera,14,12,60,30,10,si,1.25,uuid:795dd6c2-dd60-4e3f-bf05-194d1de2eec2,uuid:795dd6c2-dd60-4e3f-bf05-194d1de2eec2/producto[1]
primera,7,6,40,50,10,si,1.3,uuid:ffdc1ebb-bc60-4274-827d-a232b8603002,uuid:ffdc1ebb-bc60-4274-827d-a232b8603002/producto[1]
primera,10,9,20,60,20,si,1.3,uuid:c5db6f94-8fbe-446b-8fb7-57f2a6e1f8fb,uuid:c5db6f94-8fbe-446b-8fb7-57f2a6e1f8fb/producto[1]
primera,18,16,50,40,10,si,1.2,uuid:037050ce-6b02-4ecb-9ba5-04be4d037617,uuid:037050ce-6b02-4ecb-9ba5-04be4d037617/producto[1]
primera,7,6,60,30,10,si,1.25,uuid:cb0de78c-7822-4f7c-a379-500c48205b3a,uuid:cb0de78c-7822-4f7c-a379-500c48205b3a/producto[1]
primera,7,7,40,50,10,si,1.2,uuid:dd5d4c2d-e0c7-4297-ab47-bbcaa78e2cff,uuid:dd5d4c2d-e0c7-4297-ab47-bbcaa78e2cff/producto[1]
primera,15,15,50,40,10,si,1.2,uuid:b416db00-6246-4710-ad54-f9829c9f998d,uuid:b416db00-6246-4710-ad54-f9829c9f998d/producto[1]
primera,4,3,20,70,10,si,1.2,uuid:73cf0adc-3059-439f-ab75-5f8bfe1a0875,uuid:73cf0adc-3059-439f-ab75-5f8bfe1a0875/producto[1]
primera,3,2.5,0,80,20,no,0,uuid:dbe2f5fc-ee6a-4f77-a6f4-2b8227cb7a4f,uuid:dbe2f5fc-ee6a-4f77-a6f4-2b8227cb7a4f/producto[1]
primera,10,9,50,40,10,si,1.1,uuid:6f39018d-9a4e-4e67-a153-deec20f1ccf1,uuid:6f39018d-9a4e-4e67-a153-deec20f1ccf1/producto[1]
primera,3,3,50,40,10,si,1.2,uuid:a5d0038e-5205-49ef-831f-9ef614c4b972,uuid:a5d0038e-5205-49ef-831f-9ef614c4b972/producto[1]
primera,3,2.6,40,50,10,si,1.3,uuid:400ec80e-16b7-4ca0-9fe0-c70e5837bec8,uuid:400ec80e-16b7-4ca0-9fe0-c70e5837bec8/producto[1]
primera,7,6,50,40,10,si,1.1,uuid:e516b4f4-a35b-4831-82a6-4fa8514378fc,uuid:e516b4f4-a35b-4831-82a6-4fa8514378fc/producto[1]
primera,8,7,60,30,10,si,1.2,uuid:6cd05170-a394-4a13-a692-ac45eeaa569c,uuid:6cd05170-a394-4a13-a692-ac45eeaa569c/producto[1]
primera,8,7,40,50,10,si,1.5,uuid:34f5de29-0802-4c62-a5d6-ad9d51eb949a,uuid:34f5de29-0802-4c62-a5d6-ad9d51eb949a/producto[1]
primera,7,5,40,50,10,si,1.3,uuid:556270d0-d6c2-4b50-8251-67c8984833be,uuid:556270d0-d6c2-4b50-8251-67c8984833be/producto[1]
primera,3,2,30,60,10,si,"1,3",uuid:93d146c4-74ed-4161-81b5-7e45f479c0af,uuid:93d146c4-74ed-4161-81b5-7e45f479c0af/producto[1]
primera,3,2,30,60,10,si,1.2,uuid:07ee7b04-7df7-47a7-adab-301e7e5f4535,uuid:07ee7b04-7df7-47a7-adab-301e7e5f4535/producto[1]
primera,8,6,60,30,10,si,1.3,uuid:2f662a9f-0823-44e1-851f-0c500b8f0d5b,uuid:2f662a9f-0823-44e1-851f-0c500b8f0d5b/producto[1]
primera,1.5,1,20,60,20,si,1.2,uuid:145c67ff-444e-4218-aeae-86b003e6bd43,uuid:145c67ff-444e-4218-aeae-86b003e6bd43/producto[1]
primera,4,3,60,30,10,si,1.3,uuid:9330c593-148b-48d7-99ca-c2ddddf18e90,uuid:9330c593-148b-48d7-99ca-c2ddddf18e90/producto[1]
primera,4,3,50,40,10,si,1.25,uuid:bc2d6edb-ecd8-4fb8-ada3-a376c0a79d74,uuid:bc2d6edb-ecd8-4fb8-ada3-a376c0a79d74/producto[1]
primera,4,3,50,40,10,si,1.5,uuid:d7456ad2-0a18-45f5-a591-9ff44bf9d0af,uuid:d7456ad2-0a18-45f5-a591-9ff44bf9d0af/producto[1]
primera,3,2.5,60,30,10,si,1.4,uuid:4859567c-1646-4ccb-8f81-b48b9b4fa194,uuid:4859567c-1646-4ccb-8f81-b48b9b4fa194/producto[1]
primera,4,3,50,40,10,si,1.2,uuid:a08dea54-d044-4450-b9f0-031c9783fd67,uuid:a08dea54-d044-4450-b9f0-031c9783fd67/producto[1]
primera,1,0.8,0,80,20,si,0,uuid:2ea6d8d7-ca16-43e0-b0ae-5e8373e114d5,uuid:2ea6d8d7-ca16-43e0-b0ae-5e8373e114d5/producto[1]
primera,7,5,40,50,10,si,1.3,uuid:1a5b42d1-0693-46df-95a3-9bc2d716a62b,uuid:1a5b42d1-0693-46df-95a3-9bc2d716a62b/producto[1]
primera,3,2.5,60,30,10,si,1.2,uuid:ae7e9d29-8000-42bf-a2d8-85cc5bbb941e,uuid:ae7e9d29-8000-42bf-a2d8-85cc5bbb941e/producto[1]
primera,1,1,10,80,10,si,1.3,uuid:5cea880e-024c-40c6-8424-a1b54ee1e517,uuid:5cea880e-024c-40c6-8424-a1b54ee1e517/producto[1]
primera,2,1.5,20,60,20,si,1.2,uuid:5c1ba343-c850-4074-b12a-7c99f7a9fe33,uuid:5c1ba343-c850-4074-b12a-7c99f7a9fe33/producto[1]
primera,3,3,50,40,10,si,1.2,uuid:d05885d9-f525-4efd-afc6-3215c601655d,uuid:d05885d9-f525-4efd-afc6-3215c601655d/producto[1]
primera,4,3,50,40,10,si,1.3,uuid:3cfd83ef-3899-4e4b-9bcb-1e59eaddc2db,uuid:3cfd83ef-3899-4e4b-9bcb-1e59eaddc2db/producto[1]
primera,5,4,60,30,10,si,1.3,uuid:e459d027-26ac-4052-b598-53d7f3058454,uuid:e459d027-26ac-4052-b598-53d7f3058454/producto[1]
primera,4,3,50,40,10,si,1.5,uuid:73fa7570-d2a5-4305-b325-57b33d3ca36e,uuid:73fa7570-d2a5-4305-b325-57b33d3ca36e/producto[1]
primera,6,5,60,30,10,si,1.2,uuid:4a788e65-5495-471e-bd13-6bce66a51ae5,uuid:4a788e65-5495-471e-bd13-6bce66a51ae5/producto[1]
primera,8,6,50,40,10,si,1.3,uuid:7d328a56-ec19-492f-9e25-503111ef10e5,uuid:7d328a56-ec19-492f-9e25-503111ef10e5/producto[1]
primera,3,3,40,50,10,si,1.25,uuid:ea537d22-cf44-43a8-a574-26cf3eb19f48,uuid:ea537d22-cf44-43a8-a574-26cf3eb19f48/producto[1]
primera,3,3,50,40,10,si,1.4,uuid:3e9afb17-1dbe-404a-95b9-ca73ff547483,uuid:3e9afb17-1dbe-404a-95b9-ca73ff547483/producto[1]
primera,2,1.2,20,70,10,si,1.3,uuid:a8c972eb-f07e-4760-8efe-3fdca572659a,uuid:a8c972eb-f07e-4760-8efe-3fdca572659a/producto[1]
segunda,6,4,60,30,10,si,1.1,uuid:9570e4d4-99c8-4912-a481-5c33b1dd2628,uuid:9570e4d4-99c8-4912-a481-5c33b1dd2628/producto[1]
primera,3,2.5,40,50,10,si,1,uuid:657a611e-8337-4b91-9cdc-b973a8d9f1c5,uuid:657a611e-8337-4b91-9cdc-b973a8d9f1c5/producto[1]
primera,9,8,60,30,10,si,1.2,uuid:a98618ac-1b79-4957-bbe3-451438d260ea,uuid:a98618ac-1b79-4957-bbe3-451438d260ea/producto[1]
primera,7,7,60,30,10,si,"1,3",uuid:23238a70-8b78-403f-9153-18a13b441bc1,uuid:23238a70-8b78-403f-9153-18a13b441bc1/producto[1]
primera,10,8,40,50,10,si,1.1,uuid:fcf64057-2331-4c20-8ba7-4b2b34125237,uuid:fcf64057-2331-4c20-8ba7-4b2b34125237/producto[1]
primera,8,5,60,30,10,si,1.2,uuid:ecf31905-f176-45b1-9bc2-7ebe770a2eb1,uuid:ecf31905-f176-45b1-9bc2-7ebe770a2eb1/producto[1]
segunda,4,3,60,20,20,si,1.3,uuid:8cbd1185-add8-4e0f-a995-fbff8eb7af30,uuid:8cbd1185-add8-4e0f-a995-fbff8eb7af30/producto[1]
primera,9,7,60,30,10,si,1.1,uuid:29ab224e-736e-4a42-9558-512d485106bf,uuid:29ab224e-736e-4a42-9558-512d485106bf/producto[1]
primera,6,5,60,30,10,si,1.3,uuid:962f3a90-5cf1-4f07-adaf-667ee2e46a2d,uuid:962f3a90-5cf1-4f07-adaf-667ee2e46a2d/producto[1]
primera,6,5,40,50,10,si,1.3,uuid:0318dda2-bc0c-4ea3-be73-d91268cbbf44,uuid:0318dda2-bc0c-4ea3-be73-d91268cbbf44/producto[1]
primera,3,3,40,50,10,si,1.2,uuid:1ea46a33-ecbf-4cf9-8b7e-1009e57af70c,uuid:1ea46a33-ecbf-4cf9-8b7e-1009e57af70c/producto[1]
primera,1,0.8,20,70,10,si,1.1,uuid:80646b91-6003-4083-8d4c-e2300a54bfa1,uuid:80646b91-6003-4083-8d4c-e2300a54bfa1/producto[1]
primera,1,0.8,0,80,20,no,0,uuid:fa716fd6-181e-487c-96e3-e1a7875da215,uuid:fa716fd6-181e-487c-96e3-e1a7875da215/producto[1]
